student_id,year,sleep_hours,sleep_group,study_hours,caffeine_cups,gpa
1,Junior,8.127262984506313,Long (7+),20,3,3.73
2,Freshman,6.968996853467087,Medium (6-7),14,2,3.4
3,Sophomore,8.206235640198006,Long (7+),18,0,3.23
4,Freshman,6.2691656812789995,Medium (6-7),10,2,3.22
5,Sophomore,8.213032802667087,Long (7+),11,1,3.39
6,Junior,4.772134891705396,Short (<6),11,2,2.25
7,Junior,5.472394460541208,Short (<6),16,2,3.17
8,Junior,7.059413984554427,Long (7+),17,2,3.73
9,Junior,7.0895771400221435,Long (7+),15,2,3.35
10,Sophomore,6.569810191242466,Medium (6-7),11,1,3.62
11,Sophomore,7.642013344097653,Long (7+),15,1,3.68
12,Freshman,8.691142826536623,Long (7+),12,2,3.64
13,Junior,6.931226467084873,Medium (6-7),10,1,3.33
14,Senior,6.998953723953671,Medium (6-7),7,1,3.07
15,Sophomore,7.898081567464874,Long (7+),16,1,3.86
16,Freshman,5.896780715630526,Short (<6),7,2,3.19
17,Senior,4.7128172045096415,Short (<6),25,3,3.34
18,Senior,8.595691399789112,Long (7+),16,4,3.23
19,Senior,8.732291984208686,Long (7+),12,0,4
20,Junior,7.433940815621808,Long (7+),12,1,2.94
21,Freshman,7.90942573075572,Long (7+),14,2,3.22
22,Sophomore,7.3834430420738135,Long (7+),13,2,3.61
23,Sophomore,7.27293602813235,Long (7+),23,1,3.59
24,Senior,7.085093128527227,Long (7+),10,2,2.86
25,Freshman,6.925602987678924,Medium (6-7),18,2,3.51
26,Senior,6.581121816128865,Medium (6-7),14,0,2.59
27,Sophomore,6.958884183647274,Medium (6-7),28,3,3.29
28,Freshman,5.735342984984515,Short (<6),11,1,2.63
29,Junior,6.000680566827981,Medium (6-7),14,2,3.23
30,Sophomore,5.736222328924609,Short (<6),2,1,2.8
31,Freshman,7.125531142584197,Long (7+),12,1,3.29
32,Junior,6.542541596782687,Medium (6-7),21,3,3.17
33,Freshman,7.57266117431716,Long (7+),9,2,2.94
34,Senior,5.956375224793157,Short (<6),14,2,3.41
35,Freshman,6.21894525703175,Medium (6-7),16,4,3.27
36,Junior,6.582373135277812,Medium (6-7),17,2,3.71
37,Junior,5.556143775835043,Short (<6),9,3,3.44
38,Senior,7.060525115269365,Long (7+),13,2,3.47
39,Senior,6.6164993701701045,Medium (6-7),16,3,3.24
40,Junior,7.087542225048425,Long (7+),12,0,3.09
41,Freshman,6.142525755570351,Medium (6-7),12,3,2.61
42,Senior,7.854006438675251,Long (7+),25,2,3.68
43,Freshman,5.501509514796295,Short (<6),6,1,2.5
44,Junior,8.424179452911764,Long (7+),18,3,3.86
45,Senior,6.592505946266194,Medium (6-7),22,2,3.97
46,Sophomore,7.149703381945942,Long (7+),11,1,3.05
47,Freshman,6.724150809771753,Medium (6-7),17,4,2.91
48,Sophomore,8.463824900971625,Long (7+),11,0,3.34
49,Freshman,8.404028747416033,Long (7+),15,1,3.52
50,Sophomore,7.580899992678752,Long (7+),9,2,3.59
51,Junior,5.266322852545673,Short (<6),10,4,2.53
52,Sophomore,8.14938189907209,Long (7+),12,0,3.33
53,Junior,5.84741129723181,Short (<6),6,1,2.43
54,Freshman,7.135373712073797,Long (7+),17,3,3.53
55,Junior,6.278360225623425,Medium (6-7),3,2,2.89
56,Junior,5.983628459310654,Short (<6),13,1,2.9
57,Sophomore,6.523628806149709,Medium (6-7),13,3,3.37
58,Sophomore,7.381582247646529,Long (7+),21,0,2.88
59,Sophomore,7.79939475868491,Long (7+),16,2,3.35
60,Freshman,7.106840219499786,Long (7+),16,1,3.41
61,Senior,6.213552501757256,Medium (6-7),23,3,3.53
62,Senior,7.555596378858748,Long (7+),18,1,3.22
63,Freshman,6.65088327801602,Medium (6-7),7,3,3.51
64,Junior,7.602637255383884,Long (7+),24,3,3.41
65,Senior,5.428910014341495,Short (<6),6,1,2.77
66,Junior,4.895508019026197,Short (<6),6,2,2.92
67,Sophomore,7.314289715744695,Long (7+),16,1,3.46
68,Freshman,5.771406374366482,Short (<6),12,4,3.39
69,Freshman,5.753354328758374,Short (<6),6,4,2.21
70,Junior,8.425368093936825,Long (7+),9,1,3.91
71,Freshman,5.955744408743878,Short (<6),13,4,3.21
