track_id,track_name,artist,album_name,release_year,popularity,genre,subgenre,danceability,energy,valence,acousticness,instrumentalness,liveness,speechiness,tempo,loudness,duration_ms
6f807x0ima9a1j3VPbc7VN,I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,I Don't Care (with Justin Bieber) [Loud Luxury Remix],2019,66,pop,dance pop,0.748,0.916,0.518,0.102,0,0.0653,0.0583,122.036,-2.634,194754
0r7CVbZTWZgbTCYdfa2P31,Memories - Dillon Francis Remix,Maroon 5,Memories (Dillon Francis Remix),2019,67,pop,dance pop,0.726,0.815,0.693,0.0724,0.00421,0.357,0.0373,99.972,-4.969,162600
1z1Hg7Vb0AhHDiEmnDE79l,All the Time - Don Diablo Remix,Zara Larsson,All the Time (Don Diablo Remix),2019,70,pop,dance pop,0.675,0.931,0.613,0.0794,2.33e-5,0.11,0.0742,124.008,-3.432,176616
75FpbthrwQmzHlBJLuGdC7,Call You Mine - Keanu Silva Remix,The Chainsmokers,Call You Mine - The Remixes,2019,60,pop,dance pop,0.718,0.93,0.277,0.0287,9.43e-6,0.204,0.102,121.956,-3.778,169093
1e8PAfcKUYoKkxPhrHqw4x,Someone You Loved - Future Humans Remix,Lewis Capaldi,Someone You Loved (Future Humans Remix),2019,69,pop,dance pop,0.65,0.833,0.725,0.0803,0,0.0833,0.0359,123.976,-4.672,189052
7fvUMiyapMsRRxr07cU8Ef,Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,Beautiful People (feat. Khalid) [Jack Wins Remix],2019,67,pop,dance pop,0.675,0.919,0.585,0.0799,0,0.143,0.127,124.982,-5.385,163049
2OAylPUDDfwRGfe0lYqlCQ,Never Really Over - R3HAB Remix,Katy Perry,Never Really Over (R3HAB Remix),2019,62,pop,dance pop,0.449,0.856,0.152,0.187,0,0.176,0.0623,112.648,-4.788,187675
6b1RNvAcJjQH73eZO4BLAB,Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,Post Malone (feat. RANI) [GATTÜSO Remix],2019,69,pop,dance pop,0.542,0.903,0.367,0.0335,4.83e-6,0.111,0.0434,127.936,-2.419,207619
7bF6tCO3gFb8INrEDcjNT5,Tough Love - Tiësto Remix / Radio Edit,Avicii,Tough Love (Tiësto Remix),2019,68,pop,dance pop,0.594,0.935,0.366,0.0249,3.97e-6,0.637,0.0565,127.015,-3.562,193187
1IXGILkPm0tOCNeq00kCPa,If I Can't Have You - Gryffin Remix,Shawn Mendes,If I Can't Have You (Gryffin Remix),2019,67,pop,dance pop,0.642,0.818,0.59,0.0567,0,0.0919,0.032,124.957,-4.552,253040
3eFJI470ALf1EYjywPRsJy,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],2019,58,pop,dance pop,0.679,0.923,0.752,0.146,4.92e-6,0.124,0.181,121.984,-6.5,207894
3iJeF2izF1QcpCgUc97BLl,Hate Me - R3HAB Remix,Ellie Goulding,Hate Me (R3HAB Remix),2019,67,pop,dance pop,0.437,0.774,0.329,0.148,0,0.133,0.0554,123.125,-4.918,203733
6e0CvGZf7CouOpYF8toXHC,Body On My,Loud Luxury,Body On My,2019,67,pop,dance pop,0.744,0.726,0.687,0.0399,0,0.374,0.0463,121.985,-4.675,192507
3eLdNmnRWr9gIyBcqTSSti,SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,SOS (Laidback Luke Tribute Remix),2019,68,pop,dance pop,0.572,0.915,0.678,0.0111,0,0.339,0.0625,123.919,-4.451,164516
