team,team_name,week,week_points,cumulative,rank
1,Tyrannotitans,1,5,5,1
1,Tyrannotitans,2,5,10,4
1,Tyrannotitans,3,3,13,6
1,Tyrannotitans,4,0,13,6
1,Tyrannotitans,5,0,13,6
1,Tyrannotitans,6,0,13,6
1,Tyrannotitans,7,0,13,6
1,Tyrannotitans,8,0,13,6
1,Tyrannotitans,9,0,13,6
1,Tyrannotitans,10,0,13,6
2,Vitamin R,1,4,4,6
2,Vitamin R,2,5,9,7
2,Vitamin R,3,2,11,7
2,Vitamin R,4,0,11,7
2,Vitamin R,5,0,11,7
2,Vitamin R,6,0,11,7
2,Vitamin R,7,0,11,7
2,Vitamin R,8,0,11,7
2,Vitamin R,9,0,11,7
2,Vitamin R,10,0,11,7
3,Rticokes,1,4,4,6
3,Rticokes,2,6,10,4
3,Rticokes,3,4,14,4
3,Rticokes,4,0,14,4
3,Rticokes,5,0,14,4
3,Rticokes,6,0,14,4
3,Rticokes,7,0,14,4
3,Rticokes,8,0,14,4
3,Rticokes,9,0,14,4
3,Rticokes,10,0,14,4
4,Coderunners,1,5,5,1
4,Coderunners,2,6,11,1
4,Coderunners,3,5,16,1
4,Coderunners,4,0,16,1
4,Coderunners,5,0,16,1
4,Coderunners,6,0,16,1
4,Coderunners,7,0,16,1
4,Coderunners,8,0,16,1
4,Coderunners,9,0,16,1
4,Coderunners,10,0,16,1
5,R-odents,1,5,5,1
5,R-odents,2,5,10,4
5,R-odents,3,4,14,4
5,R-odents,4,0,14,4
5,R-odents,5,0,14,4
5,R-odents,6,0,14,4
5,R-odents,7,0,14,4
5,R-odents,8,0,14,4
5,R-odents,9,0,14,4
5,R-odents,10,0,14,4
6,The Black Cats,1,5,5,1
6,The Black Cats,2,6,11,1
6,The Black Cats,3,5,16,1
6,The Black Cats,4,0,16,1
6,The Black Cats,5,0,16,1
6,The Black Cats,6,0,16,1
6,The Black Cats,7,0,16,1
6,The Black Cats,8,0,16,1
6,The Black Cats,9,0,16,1
6,The Black Cats,10,0,16,1
7,The Bosses,1,5,5,1
7,The Bosses,2,6,11,1
7,The Bosses,3,5,16,1
7,The Bosses,4,0,16,1
7,The Bosses,5,0,16,1
7,The Bosses,6,0,16,1
7,The Bosses,7,0,16,1
7,The Bosses,8,0,16,1
7,The Bosses,9,0,16,1
7,The Bosses,10,0,16,1
